,delta_time,longitude,latitude,heights,class,utm_x,utm_y,elapsed_seconds,qGIS_Surface_Type
119,144088547.7947512,-77.48199899690557,85.69526379246531,-0.04627581,specular_lead_high_w_bkgr,579402.05840403,9523945.165729249,1256.9412302070643,pond
120,144088547.79513583,-77.48214842491132,85.69524209281244,-0.04219523,specular_lead_high_w_bkgr,579401.2227133919,9523942.569580551,1256.8861144945188,pond
121,144088547.7955502,-77.4823094211455,85.69521871714734,-0.058047567,specular_lead_high_w_bkgr,579400.3222399092,9523939.772877706,1256.8309987819732,pond
122,144088547.79594553,-77.48246299304793,85.69519642754014,-0.06033375,specular_lead_high_w_bkgr,579399.4631287173,9523937.106036833,1256.7758830694274,pond
123,144088547.79632688,-77.48261131475314,85.69517490544568,-0.07507673,specular_lead_high_w_bkgr,579398.6332740202,9523934.530973896,1256.720767356882,pond
124,144088547.7967798,-77.4827875542756,85.69514932935307,-0.08803818,specular_lead_high_w_bkgr,579397.6472588725,9523931.470890673,1256.665651644336,pond
125,144088547.79717883,-77.48294269594089,85.69512682227234,-0.040899325,specular_lead_low_w_bkg,579396.7791321652,9523928.7779353,1256.6105359317903,pond
126,144088547.79763827,-77.48312148626657,85.6951008772599,-0.058118656,specular_lead_low_w_bkg,579395.77878826,9523925.673703304,1256.5554202192448,pond
127,144088547.79810563,-77.48330335038547,85.69507449361316,-0.05197185,specular_lead_low_w_bkg,579394.7610906904,9523922.516921269,1256.5003045066992,pond
128,144088547.7985048,-77.4834587214536,85.69505195314363,-0.05115008,other,579393.8916357595,9523919.819976095,1256.4451887941534,pond
129,144088547.79888305,-77.48360598016235,85.69503059316884,-0.045799952,other,579393.0674984171,9523917.264242884,1256.390073081608,ice
130,144088547.799334,-77.48378159950877,85.69500512024354,-0.024324438,other,579392.0846091972,9523914.216386829,1256.334957369062,ice
131,144088547.8002887,-77.48415332731861,85.69495120072261,0.06130234,other,579390.004133357,9523907.764895037,1256.2798416565165,ice
132,144088547.80162668,-77.48467457827645,85.69487559095091,0.19518593,other,579387.0867077372,9523898.71818494,1256.2247259439707,ice
133,144088547.8025621,-77.48503906471582,85.6948227278379,0.2831821,other,579385.0464608321,9523892.393051898,1256.1696102314252,ice
134,144088547.80366096,-77.48546741992342,85.69476058843814,0.34023446,other,579382.648845261,9523884.958133977,1256.1144945188792,ice
135,144088547.80474645,-77.4858905450632,85.69469918333547,0.3939399,other,579380.2808482675,9523877.611315671,1256.059378806334,ice
136,144088547.8057846,-77.48629505508518,85.6946404458219,0.58912313,other,579378.0175562149,9523870.583992513,1256.0042630937885,ice
137,144088547.80674332,-77.48666879133681,85.69458617475661,0.6743336,other,579375.9264020792,9523864.09106022,1255.9491473812425,ice
138,144088547.80796432,-77.48714495296572,85.69451709430022,0.36953256,other,579373.2608548425,9523855.825749427,1255.8940316686965,ice
139,144088547.8091832,-77.48762022865256,85.69444807089585,0.15994075,other,579370.6014510781,9523847.567957072,1255.8389159561511,ice
140,144088547.81028247,-77.48804871377715,85.69438571693048,0.006230425,other,579368.2060672,9523840.109287452,1255.7838002436051,ice
141,144088547.8108191,-77.488257645908,85.69435527531188,-0.05583012,other,579367.0387121928,9523836.468274225,1255.7286845310591,ice
